#                                          
# MAP for Data Channel to Layout (Row,Col) 
#                                          
# Convention:                              
#    - Looking at the Pad Surface          
#    - Lower-Left corner is (0,0)          
#                                          
# Create by Yun-Ha using David's Map       
#                                          
# NOTE:                                    
#  pad at 20,65 is for HV
#  pad at 20,64 is for HV
#                             
#  72, 73 are added manually to give location anyway
#             
#-------------------------------           
# PhysChan  FEC  ASIC  Row  Col            
#-------------------------------           
      271    0     3    9   70
      272    0     3    9   69
      273    0     3    9   68
      274    0     3    9   67
      275    0     3    9   66
      276    0     3   10   71
      277    0     3   10   70
      278    0     3   10   69
      279    0     3   10   68
      280    0     3   10   67
      281    0     3   10   66
      282    0     3   11   71
      283    0     3   11   70
      284    0     3   11   69
      285    0     3   11   68
      286    0     3   11   67
      287    0     3   11   66
      288    1     4   12   54
      289    1     4   12   59
      290    1     4   12   55
      291    1     4   12   58
      292    1     4   12   56
      293    1     4   12   57
      294    1     4   13   54
      295    1     4   13   55
      296    1     4   13   56
      297    1     4   13   57
      298    1     4   13   58
      299    1     4   13   59
      300    1     4   14   54
      301    1     4   14   55
      302    1     4   14   56
      303    1     4   14   57
      304    1     4   14   58
      305    1     4   14   59
      306    1     4   15   54
      307    1     4   15   55
      308    1     4   15   56
      309    1     4   15   57
      310    1     4   15   58
      311    1     4   15   59
      312    1     4   16   54
      313    1     4   16   55
      314    1     4   16   57
      315    1     4   16   56
      316    1     4   16   59
      317    1     4   16   58
      318    1     4   17   58
      319    1     4   17   59
      320    1     4   17   56
      321    1     4   17   57
      322    1     4   17   54
      323    1     4   17   55
      324    1     4   18   58
      325    1     4   18   59
      326    1     4   18   56
      327    1     4   18   57
      328    1     4   18   54
      329    1     4   18   55
      330    1     4   21   56
      331    1     4   19   59
      332    1     4   21   55
      333    1     4   19   58
      334    1     4   21   54
      335    1     4   19   57
      336    1     4   22   59
      337    1     4   19   56
      338    1     4   22   58
      339    1     4   19   55
      340    1     4   22   57
      341    1     4   19   54
      342    1     4   22   56
      343    1     4   20   59
      344    1     4   22   55
      345    1     4   20   58
      346    1     4   22   54
      347    1     4   20   57
      348    1     4   23   59
      349    1     4   20   56
      350    1     4   23   54
      351    1     4   20   55
      352    1     4   23   55
      353    1     4   20   54
      354    1     4   23   56
      355    1     4   21   59
      356    1     4   23   57
      357    1     4   21   58
      358    1     4   23   58
      359    1     4   21   57
      360    1     5   12   48
      361    1     5   12   49
      362    1     5   13   48
      363    1     5   13   49
      364    1     5   12   50
      365    1     5   13   50
      366    1     5   12   51
      367    1     5   13   51
      368    1     5   12   52
      369    1     5   13   52
      370    1     5   12   53
      371    1     5   13   53
      372    1     5   14   48
      373    1     5   14   49
      374    1     5   14   50
      375    1     5   14   51
      376    1     5   14   52
      377    1     5   14   53
      378    1     5   15   48
      379    1     5   15   49
      380    1     5   15   50
      381    1     5   15   51
      382    1     5   15   52
      383    1     5   15   53
      384    1     5   16   53
      385    1     5   16   52
      386    1     5   16   51
      387    1     5   16   50
      388    1     5   16   48
      389    1     5   16   49
      390    1     5   17   53
      391    1     5   17   52
      392    1     5   17   51
      393    1     5   17   50
      394    1     5   17   48
      395    1     5   17   49
      396    1     5   18   52
      397    1     5   18   53
      398    1     5   18   50
      399    1     5   18   51
      400    1     5   19   53
      401    1     5   18   49
      402    1     5   19   51
      403    1     5   19   52
      404    1     5   18   48
      405    1     5   19   50
      406    1     5   23   49
      407    1     5   23   51
      408    1     5   23   48
      409    1     5   23   53
      410    1     5   23   50
      411    1     5   19   49
      412    1     5   23   52
      413    1     5   20   53
      414    1     5   22   48
      415    1     5   20   52
      416    1     5   22   49
      417    1     5   20   51
      418    1     5   22   50
      419    1     5   19   48
      420    1     5   21   53
      421    1     5   20   50
      422    1     5   21   52
      423    1     5   20   49
      424    1     5   21   50
      425    1     5   21   51
      426    1     5   21   48
      427    1     5   21   49
      428    1     5   22   52
      429    1     5   20   48
      430    1     5   22   51
      431    1     5   22   53
      432    1     6    1   53
      433    1     6    2   48
      434    1     6    1   52
      435    1     6    2   49
      436    1     6    1   51
      437    1     6    2   50
      438    1     6    1   50
      439    1     6    2   51
      440    1     6    1   49
      441    1     6    2   52
      442    1     6    1   48
      443    1     6    2   53
      444    1     6    3   48
      445    1     6    3   49
      446    1     6    0   53
      447    1     6    3   50
      448    1     6    0   52
      449    1     6    3   51
      450    1     6    0   51
      451    1     6    3   52
      452    1     6    0   50
      453    1     6    3   53
      454    1     6    0   49
      455    1     6    4   49
      456    1     6    0   48
      457    1     6    4   51
      458    1     6    4   48
      459    1     6    4   52
      460    1     6    4   50
      461    1     6    4   53
      462    1     6    5   48
      463    1     6    5   49
      464    1     6    5   50
      465    1     6    5   51
      466    1     6    5   52
      467    1     6    5   53
      468    1     6    6   48
      469    1     6    6   49
      470    1     6    6   51
      471    1     6    6   50
      472    1     6    6   53
      473    1     6    6   52
      474    1     6    7   48
      475    1     6    7   49
      476    1     6    7   51
      477    1     6    7   50
      478    1     6    7   53
      479    1     6    7   52
      480    1     6    8   52
      481    1     6    8   53
      482    1     6    8   50
      483    1     6    8   51
      484    1     6    8   48
      485    1     6    8   49
      486    1     6    9   52
      487    1     6    9   53
      488    1     6    9   50
      489    1     6    9   51
      490    1     6    9   48
      491    1     6    9   49
      492    1     6   11   53
      493    1     6   10   53
      494    1     6   11   52
      495    1     6   10   52
      496    1     6   11   51
      497    1     6   10   51
      498    1     6   11   50
      499    1     6   10   50
      500    1     6   10   48
      501    1     6   10   49
      502    1     6   11   48
      503    1     6   11   49
      504    1     7    0   58
      505    1     7    3   55
      506    1     7    0   57
      507    1     7    2   56
      508    1     7    0   56
      509    1     7    2   57
      510    1     7    0   55
      511    1     7    3   56
      512    1     7    0   54
      513    1     7    3   57
      514    1     7    0   59
      515    1     7    2   58
      516    1     7    1   54
      517    1     7    2   59
      518    1     7    1   55
      519    1     7    3   58
      520    1     7    1   56
      521    1     7    3   59
      522    1     7    1   57
      523    1     7    4   55
      524    1     7    1   58
      525    1     7    4   54
      526    1     7    1   59
      527    1     7    4   56
      528    1     7    3   54
      529    1     7    4   57
      530    1     7    2   54
      531    1     7    4   58
      532    1     7    2   55
      533    1     7    4   59
      534    1     7    5   54
      535    1     7    5   56
      536    1     7    5   55
      537    1     7    5   57
      538    1     7    5   58
      539    1     7    5   59
      540    1     7    6   54
      541    1     7    6   55
      542    1     7    6   56
      543    1     7    6   57
      544    1     7    6   58
      545    1     7    6   59
      546    1     7    7   59
      547    1     7    7   58
      548    1     7    7   57
      549    1     7    7   56
      550    1     7    7   54
      551    1     7    7   55
      552    1     7    8   58
      553    1     7    8   59
      554    1     7    8   56
      555    1     7    8   57
      556    1     7    8   54
      557    1     7    8   55
      558    1     7    9   58
      559    1     7    9   59
      560    1     7    9   56
      561    1     7    9   57
      562    1     7    9   54
      563    1     7    9   55
      564    1     7   10   58
      565    1     7   10   59
      566    1     7   10   56
      567    1     7   10   57
      568    1     7   10   54
      569    1     7   10   55
      570    1     7   11   56
      571    1     7   11   57
      572    1     7   11   55
      573    1     7   11   58
      574    1     7   11   54
